filename,label,arch,nodes,edges,out_degree,in_degree,density,closeness_centrality,betweeness_centrality,connected_components,diameter,radius,total_trans,total_cal,total_ctl,avg_trans,avg_cal,avg_ctl,avg_block,avg_block_size
a3012c30ee2cd6a4e5b1d51fbf82912c57e539f5b67f460239505a7c726a39df,0,7,122,165,0.008196721,0.008196721,0.011177347,0.016629028,0.000690963,14,10,2,232,113,61,1.901639344,0.926229508,0.5,1.352459016,4.56557377
a3031952a03c7086d910767d7b14f45e8403838b23a0caa618e12bab876b1e95,0,7,194,376,0.005154639,0.005154639,0.010042199,0.068625583,0.013324219,1,27,2,1909,597,59,9.840206186,3.077319588,0.304123711,1.93814433,16.13402062
a3043682016b820faca7eea7ebbc1707b0ae62c04cb92dd9c7233a972add7fed,0,1,574,1050,0.00174216,0.00174216,0.00319244,0.086136598,0.01146767,24,25,2,1240,1791,410,2.160278746,3.120209059,0.714285714,1.829268293,12.31358885
a3046b956034c26f38855a4c1fa15879a0c5e51eaa3313d8a262d8655e461122,0,2,1276,2032,0.000783699,0.000783699,0.001249001,0.035662436,0.00420042,50,32,2,6258,1564,1018,4.904388715,1.225705329,0.797805643,1.592476489,7.077586207
a30487e59c4bdee506dc1120f5065f40b33592eaad4569fcfef3f68952e8ee72,0,3,795,1529,0.001257862,0.001257862,0.002422255,0.063443357,0.006335106,5,73,2,6215,2958,654,7.817610063,3.720754717,0.822641509,1.92327044,16.32830189
a3049314b2f07e381dde7d656a90d08d106bde67f5338b3d504038e411ec90ca,0,2,1324,2212,0.000755287,0.000755287,0.001262808,0.039194499,0.003040665,71,25,2,7878,1488,1184,5.950151057,1.123867069,0.894259819,1.670694864,8.054380665
a305d204d847eca98df8df048e77c72f3db0c609a6ca30a5e82629acf20d1701,0,1,1483,2854,0.000674309,0.000674309,0.001298568,0.052564685,0.007770736,24,45,2,3450,8280,1181,2.326365475,5.583277141,0.796358732,1.924477411,10.16722859
a30670dfa17926fba2d55dbb0d23b24fbaad79325e3ae0022125c85fbed24473,0,1,145,237,0.006896552,0.006896552,0.011350575,0.052122973,0.015534657,5,21,2,363,707,111,2.503448276,4.875862069,0.765517241,1.634482759,9.15862069
a307105fd471ed114a20e5eee9b9472d6db309c555386528e6a50fd73045a6b4,0,1,1218,2247,0.000821018,0.000821018,0.001515881,0.045606701,0.008115082,3,46,2,2386,5972,1013,1.958949097,4.903119869,0.831691297,1.844827586,8.836617406
a307f5797348d5ef3d9ca54b153e930f14c1157ae5366e5989fcc92fecb9841a,0,1,125,243,0.008,0.008,0.015677419,0.149312507,0.022122738,3,13,2,653,334,118,5.224,2.672,0.944,1.944,10.824
a30821ca384c55c7c26b515ae0b7bb8b51366722ac2ff6d3061efcbac0684fca,0,3,242,542,0.004132231,0.004132231,0.009293234,0.104526987,0.012423414,2,20,2,1807,866,206,7.466942149,3.578512397,0.851239669,2.239669421,15.07438017
a30a10b4a840513bfd64581e107c4bd07106915c980c07368c0968c5b9a62cbc,0,1,1380,2799,0.000724638,0.000724638,0.00147082,0.07056669,0.007368432,19,38,2,3028,3046,1177,2.194202899,2.207246377,0.852898551,2.02826087,8.744202899
a30ad2933e68bc70ee38ac1a3a8378ecb8f830deeb4b6ca31d61ac838ae1a63d,0,7,1260,2402,0.000793651,0.000793651,0.001514177,0.051947199,0.005106502,8,44,2,10342,4849,430,8.207936508,3.848412698,0.341269841,1.906349206,15.09047619
a30c4b2fe816048744b9ff5a8b4baccd9c264b9aa530a4421768146cdd327195,0,5,545,887,0.001834862,0.001834862,0.00299177,0.039186022,0.00279124,4,20,2,3058,730,444,5.611009174,1.339449541,0.814678899,1.627522936,8.075229358
a30c5feda43895cc02580281ad0cefb83ed08f171fce081765e03d2ef16754f7,0,7,573,871,0.001745201,0.001745201,0.002657465,0.029317846,0.004818062,59,29,2,2681,680,437,4.678883072,1.186736475,0.762652705,1.520069808,8.294938918
a30d8a33bb8b029ebc5b8ab7d6e3e5004eb8be493f04bf3bd63cfc547d35516b,0,3,1093,2876,0.000914913,0.000914913,0.002409606,0.140429805,0.004501716,3,43,2,11726,2372,927,10.72827081,2.170173833,0.848124428,2.631290027,15.08234218
a30dc25bc3c1642669fe7b9be85267519a8c504e1ffa18f38dee69ccedadf57e,0,3,1188,2296,0.000841751,0.000841751,0.001628189,0.071458676,0.006432446,1,76,2,13748,4945,738,11.57239057,4.162457912,0.621212121,1.932659933,19.53114478
a30de8b2e323181cf0b8f2392171e0ccf91c1dcbb04951ea65917af45d468a28,0,1,2547,5956,0.000392619,0.000392619,0.000918475,0.11678079,0.002525497,23,23,2,7312,17113,2369,2.870828426,6.718884963,0.930113859,2.338437377,17.23046722
